Comte ,Country of origin, France
Comte ,Region, Jura Massif 
Comte ,Type," semi-hard, artisan"
Comte ,Fat content, 45%
Comte ,Texture," dense, firm, grainy, open, smooth and supple"
Comte ,Rind, natural
Comte ,Colour, pale yellow
Comte ,Flavour," fruity, nutty, salty, savory, smokey , sweet"
Comte ,Aroma, nutty
Comte ,Vegetarian,  no 
Comte ,Producers," Anthony Rowcliffe & Son Ltd, Entremont, FROMAGERIES ARNAUD, President Cheese"
Comte ,Alternative spellings," Comté, Comte Fort Saint Antoine, Comté extra"
