Double Gloucester ,Country of origin, England and United Kingdom
Double Gloucester ,Region, Gloucestershire
Double Gloucester ,Type," hard, artisan"
Double Gloucester ,Fat content, 54.23 g/100g
Double Gloucester ,Texture," crumbly, dense, firm, flaky and smooth"
Double Gloucester ,Rind, natural
Double Gloucester ,Colour, golden yellow
Double Gloucester ,Flavour," creamy, mellow, milky, nutty"
Double Gloucester ,Aroma, sweet
Double Gloucester ,Vegetarian, yes 
Double Gloucester ,Producers, Taw Valley Creamery
Double Gloucester ,Alternative spellings, Taw Valley Double Gloucester
