Cream Havarti ,Country of origin, Denmark
Cream Havarti ,Family, Havarti
Cream Havarti ,Type," semi-soft, processed"
Cream Havarti ,Fat content (in dry matter), 45%
Cream Havarti ,Fat content, 11.0 g/100g
Cream Havarti ,Calcium content, 150 mg/100g
Cream Havarti ,Texture, smooth
Cream Havarti ,Rind, rindless
Cream Havarti ,Colour, pale yellow
Cream Havarti ,Flavour," buttery, creamy, sweet"
Cream Havarti ,Aroma, sweet
Cream Havarti ,Vegetarian, yes 
Cream Havarti ,Synonyms," Flødeis Havarti, Smoked Havarti, Havarathi"
Cream Havarti ,Alternative spellings, Flodeis Havarti
