Parmesan ,Country of origin, Italy
Parmesan ,Region," Provinces of Parma, Reggio Emilia, Modena, Bologna , Mantua "
Parmesan ,Family, Parmesan
Parmesan ,Type," hard, artisan"
Parmesan ,Fat content, 25.83  g/100g
Parmesan ,Calcium content, 1184 mg/100g
Parmesan ,Texture," crystalline, dense and grainy"
Parmesan ,Rind, natural
Parmesan ,Colour, straw
Parmesan ,Flavour," fruity, nutty, savory, sharp"
Parmesan ,Aroma, strong
Parmesan ,Vegetarian,  no 
Parmesan ,Producers, Various
Parmesan ,Synonyms, Parmigiano Reggiano
